invoice_number,invoice_date,payment_due_date,invoice_type_code,payment_means_type_code,transaction_type,currency_code,tax_category_code,seller_name,seller_trn,seller_address,seller_city,seller_subdivision,seller_country_code,seller_legal_registration,seller_registration_identifier_type,buyer_name,buyer_trn,buyer_address,buyer_city,buyer_subdivision,buyer_country_code,buyer_legal_registration,buyer_registration_identifier_type,line_id,item_name,unit_of_measure,quantity,unit_price,line_net_amount,tax_category,tax_rate,tax_amount,total_without_tax,total_with_tax,amount_due
INV-2026-X-011,2026-04-06,2026-04-16,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 11,,"Floor 2, Office 1",Abu Dhabi,AZ,AE,,,1,Managed Security Services,EA,10,1200.0,12000.0,E,0.0,0.0,12000.0,12000.0,12000.0
INV-2026-X-012,2026-04-04,2026-04-23,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 12,100188012000,"Floor 2, Office 2",Ajman,AJ,AE,L-600012,DED,1,Strategic Cloud Consulting,EA,10,500.0,5000.0,S,0.05,250.0,5000.0,5250.0,5250.0
INV-2026-X-013,2026-04-06,2026-04-23,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 13,100565038045,"Floor 2, Office 3",Ras Al Khaimah,RK,AE,L-600013,DED,1,Network Infrastructure Gear,EA,6,500.0,3000.0,E,0.0,0.0,3000.0,3000.0,3000.0
INV-2026-X-014,2026-04-02,2026-04-19,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 14,100647758897,"Floor 2, Office 4",Ajman,AJ,AE,L-600014,DED,1,Compliance Audit Fees,EA,9,500.0,4500.0,S,0.05,225.0,4500.0,4725.0,4725.0
INV-2026-X-015,2026-04-06,2026-04-27,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 15,,"Floor 2, Office 5",Fujairah,FU,AE,,,1,Managed Security Services,EA,10,2500.0,25000.0,E,0.0,0.0,25000.0,25000.0,25000.0
INV-2026-X-016,2026-04-03,2026-04-21,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 16,100937620868,"Floor 2, Office 6",Umm Al Quwain,UQ,AE,L-600016,DED,1,Compliance Audit Fees,EA,5,2500.0,12500.0,Z,0.0,0.0,12500.0,12500.0,12500.0
INV-2026-X-017,2026-04-05,2026-04-21,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 17,100579547248,"Floor 2, Office 7",Ajman,AJ,AE,L-600017,DED,1,Enterprise ERP License,EA,3,100.0,300.0,E,0.0,0.0,300.0,300.0,300.0
INV-2026-X-018,2026-04-02,2026-04-16,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 18,100439764685,"Floor 2, Office 8",Ajman,AJ,AE,L-600018,DED,1,Compliance Audit Fees,EA,8,100.0,800.0,Z,0.0,0.0,800.0,800.0,800.0
INV-2026-X-019,2026-04-06,2026-04-22,380,10,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 19,,"Floor 2, Office 9",Abu Dhabi,AZ,AE,,,1,Compliance Audit Fees,EA,5,100.0,500.0,E,0.0,0.0,500.0,500.0,500.0
INV-2026-X-020,2026-04-04,2026-05-01,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 20,100218812209,"Floor 3, Office 0",Dubai,DU,AE,L-600020,DED,1,Data Analytics Workshop,EA,3,2500.0,7500.0,Z,0.0,0.0,7500.0,7500.0,7500.0
INV-2026-X-021,2026-04-05,2026-04-23,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 21,100378358566,"Floor 3, Office 1",Umm Al Quwain,UQ,AE,L-600021,DED,1,Strategic Cloud Consulting,EA,10,1200.0,12000.0,E,0.0,0.0,12000.0,12000.0,12000.0
INV-2026-X-022,2026-04-01,2026-04-20,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 22,,"Floor 3, Office 2",Ajman,AJ,AE,,,1,Enterprise ERP License,EA,9,1200.0,10800.0,E,0.0,0.0,10800.0,10800.0,10800.0
INV-2026-X-023,2026-04-03,2026-04-28,380,42,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 23,100516714923,"Floor 3, Office 3",Ras Al Khaimah,RK,AE,L-600023,DED,1,Strategic Cloud Consulting,EA,2,100.0,200.0,E,0.0,0.0,200.0,200.0,200.0
INV-2026-X-024,2026-04-03,2026-04-24,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 24,100843554606,"Floor 3, Office 4",Sharjah,SH,AE,L-600024,DED,1,Network Infrastructure Gear,EA,9,1200.0,10800.0,E,0.0,0.0,10800.0,10800.0,10800.0
INV-2026-X-025,2026-04-01,2026-04-20,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 25,100842022181,"Floor 3, Office 5",Fujairah,FU,AE,L-600025,DED,1,Annual Platform Support,EA,5,2500.0,12500.0,E,0.0,0.0,12500.0,12500.0,12500.0
INV-2026-X-026,2026-04-04,2026-04-30,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 26,100498018710,"Floor 3, Office 6",Ajman,AJ,AE,L-600026,DED,1,Network Infrastructure Gear,EA,8,2500.0,20000.0,Z,0.0,0.0,20000.0,20000.0,20000.0
INV-2026-X-027,2026-04-02,2026-04-25,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 27,100294342981,"Floor 3, Office 7",Sharjah,SH,AE,L-600027,DED,1,Strategic Cloud Consulting,EA,3,1200.0,3600.0,S,0.05,180.0,3600.0,3780.0,3780.0
INV-2026-X-028,2026-04-05,2026-05-01,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 28,100639407620,"Floor 3, Office 8",Ajman,AJ,AE,L-600028,DED,1,Enterprise ERP License,EA,3,100.0,300.0,E,0.0,0.0,300.0,300.0,300.0
INV-2026-X-029,2026-04-05,2026-04-27,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 29,100886724691,"Floor 3, Office 9",Abu Dhabi,AZ,AE,L-600029,DED,1,Compliance Audit Fees,EA,2,2500.0,5000.0,S,0.05,250.0,5000.0,5250.0,5250.0
INV-2026-X-030,2026-04-01,2026-04-23,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 30,100572691217,"Floor 4, Office 0",Ajman,AJ,AE,L-600030,DED,1,Data Analytics Workshop,EA,6,100.0,600.0,Z,0.0,0.0,600.0,600.0,600.0
INV-2026-X-031,2026-04-03,2026-04-27,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 31,100543157911,"Floor 4, Office 1",Ajman,AJ,AE,L-600031,DED,1,Data Analytics Workshop,EA,5,2500.0,12500.0,Z,0.0,0.0,12500.0,12500.0,12500.0
INV-2026-X-032,2026-04-03,2026-04-16,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 32,100176110853,"Floor 4, Office 2",Dubai,DU,AE,L-600032,DED,1,Annual Platform Support,EA,4,1200.0,4800.0,S,0.05,240.0,4800.0,5040.0,5040.0
INV-2026-X-033,2026-04-05,2026-04-16,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 33,100249776141,"Floor 4, Office 3",Ajman,AJ,AE,L-600033,DED,1,Annual Platform Support,EA,9,100.0,900.0,S,0.05,45.0,900.0,945.0,945.0
INV-2026-X-034,2026-04-06,2026-04-28,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 34,100594263026,"Floor 4, Office 4",Ras Al Khaimah,RK,AE,L-600034,DED,1,Data Analytics Workshop,EA,10,2500.0,25000.0,S,0.05,1250.0,25000.0,26250.0,26250.0
INV-2026-X-035,2026-04-03,2026-04-21,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 35,100324556676,"Floor 4, Office 5",Ajman,AJ,AE,L-600035,DED,1,Enterprise ERP License,EA,10,1200.0,12000.0,E,0.0,0.0,12000.0,12000.0,12000.0
INV-2026-X-036,2026-04-03,2026-04-18,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 36,100820607001,"Floor 4, Office 6",Umm Al Quwain,UQ,AE,L-600036,DED,1,Enterprise ERP License,EA,3,500.0,1500.0,Z,0.0,0.0,1500.0,1500.0,1500.0
INV-2026-X-037,2026-04-02,2026-05-01,380,30,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 37,,"Floor 4, Office 7",Umm Al Quwain,UQ,AE,,,1,Managed Security Services,EA,5,2500.0,12500.0,Z,0.0,0.0,12500.0,12500.0,12500.0
INV-2026-X-038,2026-04-03,2026-04-16,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 38,,"Floor 4, Office 8",Umm Al Quwain,UQ,AE,,,1,Annual Platform Support,EA,8,100.0,800.0,E,0.0,0.0,800.0,800.0,800.0
INV-2026-X-039,2026-04-01,2026-04-21,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 39,,"Floor 4, Office 9",Abu Dhabi,AZ,AE,,,1,Annual Platform Support,EA,5,500.0,2500.0,Z,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-X-040,2026-04-02,2026-04-20,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 40,100944765319,"Floor 5, Office 0",Sharjah,SH,AE,L-600040,DED,1,Network Infrastructure Gear,EA,6,2500.0,15000.0,Z,0.0,0.0,15000.0,15000.0,15000.0
INV-2026-X-041,2026-04-04,2026-04-21,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 41,,"Floor 5, Office 1",Ras Al Khaimah,RK,AE,,,1,Strategic Cloud Consulting,EA,2,100.0,200.0,Z,0.0,0.0,200.0,200.0,200.0
INV-2026-X-042,2026-04-06,2026-04-20,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 42,100970900460,"Floor 5, Office 2",Ajman,AJ,AE,L-600042,DED,1,Data Analytics Workshop,EA,4,500.0,2000.0,Z,0.0,0.0,2000.0,2000.0,2000.0
INV-2026-X-043,2026-04-03,2026-04-30,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 43,100688806407,"Floor 5, Office 3",Ras Al Khaimah,RK,AE,L-600043,DED,1,Network Infrastructure Gear,EA,6,100.0,600.0,Z,0.0,0.0,600.0,600.0,600.0
INV-2026-X-044,2026-04-05,2026-04-29,380,42,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 44,,"Floor 5, Office 4",Dubai,DU,AE,,,1,Compliance Audit Fees,EA,9,1200.0,10800.0,Z,0.0,0.0,10800.0,10800.0,10800.0
INV-2026-X-045,2026-04-05,2026-04-18,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 45,,"Floor 5, Office 5",Dubai,DU,AE,,,1,Strategic Cloud Consulting,EA,9,100.0,900.0,Z,0.0,0.0,900.0,900.0,900.0
INV-2026-X-046,2026-04-06,2026-04-25,380,30,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 46,100372678102,"Floor 5, Office 6",Ras Al Khaimah,RK,AE,L-600046,DED,1,Managed Security Services,EA,8,1200.0,9600.0,E,0.0,0.0,9600.0,9600.0,9600.0
INV-2026-X-047,2026-04-04,2026-04-20,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 47,100408237903,"Floor 5, Office 7",Ras Al Khaimah,RK,AE,L-600047,DED,1,Strategic Cloud Consulting,EA,9,500.0,4500.0,S,0.05,225.0,4500.0,4725.0,4725.0
INV-2026-X-048,2026-04-05,2026-04-20,380,30,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 48,100930041138,"Floor 5, Office 8",Fujairah,FU,AE,L-600048,DED,1,Annual Platform Support,EA,5,2500.0,12500.0,S,0.05,625.0,12500.0,13125.0,13125.0
INV-2026-X-049,2026-04-03,2026-04-20,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 49,100377110234,"Floor 5, Office 9",Dubai,DU,AE,L-600049,DED,1,Enterprise ERP License,EA,7,500.0,3500.0,E,0.0,0.0,3500.0,3500.0,3500.0
INV-2026-X-050,2026-04-03,2026-04-21,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 50,100506981088,"Floor 6, Office 0",Ajman,AJ,AE,L-600050,DED,1,Strategic Cloud Consulting,EA,6,1200.0,7200.0,S,0.05,360.0,7200.0,7560.0,7560.0
INV-2026-X-051,2026-04-03,2026-04-17,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 51,100876891698,"Floor 6, Office 1",Ajman,AJ,AE,L-600051,DED,1,Data Analytics Workshop,EA,6,500.0,3000.0,Z,0.0,0.0,3000.0,3000.0,3000.0
INV-2026-X-052,2026-04-05,2026-04-18,380,10,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 52,100288548665,"Floor 6, Office 2",Fujairah,FU,AE,L-600052,DED,1,Annual Platform Support,EA,1,500.0,500.0,E,0.0,0.0,500.0,500.0,500.0
INV-2026-X-053,2026-04-06,2026-04-27,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 53,,"Floor 6, Office 3",Abu Dhabi,AZ,AE,,,1,Data Analytics Workshop,EA,5,500.0,2500.0,Z,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-X-054,2026-04-04,2026-04-16,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 54,100120343968,"Floor 6, Office 4",Umm Al Quwain,UQ,AE,L-600054,DED,1,Compliance Audit Fees,EA,10,500.0,5000.0,Z,0.0,0.0,5000.0,5000.0,5000.0
INV-2026-X-055,2026-04-03,2026-04-19,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 55,100968970745,"Floor 6, Office 5",Ras Al Khaimah,RK,AE,L-600055,DED,1,Enterprise ERP License,EA,2,1200.0,2400.0,Z,0.0,0.0,2400.0,2400.0,2400.0
INV-2026-X-056,2026-04-06,2026-04-24,380,42,B2C,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 56,,"Floor 6, Office 6",Umm Al Quwain,UQ,AE,,,1,Enterprise ERP License,EA,7,1200.0,8400.0,S,0.05,420.0,8400.0,8820.0,8820.0
INV-2026-X-057,2026-04-05,2026-04-30,380,42,B2B,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 57,100348737713,"Floor 6, Office 7",Ras Al Khaimah,RK,AE,L-600057,DED,1,Strategic Cloud Consulting,EA,9,100.0,900.0,E,0.0,0.0,900.0,900.0,900.0
INV-2026-X-058,2026-04-04,2026-04-24,380,10,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 58,100395169888,"Floor 6, Office 8",Fujairah,FU,AE,L-600058,DED,1,Enterprise ERP License,EA,8,100.0,800.0,Z,0.0,0.0,800.0,800.0,800.0
INV-2026-X-059,2026-04-05,2026-04-30,380,42,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 59,100543617102,"Floor 6, Office 9",Ras Al Khaimah,RK,AE,L-600059,DED,1,Strategic Cloud Consulting,EA,9,1200.0,10800.0,Z,0.0,0.0,10800.0,10800.0,10800.0
INV-2026-X-060,2026-04-06,2026-04-24,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 60,,"Floor 7, Office 0",Ajman,AJ,AE,,,1,Managed Security Services,EA,9,500.0,4500.0,E,0.0,0.0,4500.0,4500.0,4500.0
INV-2026-X-061,2026-04-05,2026-04-30,380,42,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 61,,"Floor 7, Office 1",Fujairah,FU,AE,,,1,Compliance Audit Fees,EA,1,100.0,100.0,Z,0.0,0.0,100.0,100.0,100.0
INV-2026-X-062,2026-04-02,2026-04-18,380,42,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 62,,"Floor 7, Office 2",Fujairah,FU,AE,,,1,Compliance Audit Fees,EA,1,2500.0,2500.0,E,0.0,0.0,2500.0,2500.0,2500.0
INV-2026-X-063,2026-04-03,2026-04-28,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 63,100565643873,"Floor 7, Office 3",Ajman,AJ,AE,L-600063,DED,1,Data Analytics Workshop,EA,9,2500.0,22500.0,S,0.05,1125.0,22500.0,23625.0,23625.0
INV-2026-X-064,2026-04-05,2026-04-20,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 64,,"Floor 7, Office 4",Ras Al Khaimah,RK,AE,,,1,Annual Platform Support,EA,2,1200.0,2400.0,E,0.0,0.0,2400.0,2400.0,2400.0
INV-2026-X-065,2026-04-06,2026-04-24,380,30,B2C,AED,E,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 65,,"Floor 7, Office 5",Dubai,DU,AE,,,1,Network Infrastructure Gear,EA,8,500.0,4000.0,E,0.0,0.0,4000.0,4000.0,4000.0
INV-2026-X-066,2026-04-06,2026-04-17,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 66,100121959241,"Floor 7, Office 6",Abu Dhabi,AZ,AE,L-600066,DED,1,Managed Security Services,EA,4,100.0,400.0,S,0.05,20.0,400.0,420.0,420.0
INV-2026-X-067,2026-04-05,2026-04-24,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 67,100408696109,"Floor 7, Office 7",Ajman,AJ,AE,L-600067,DED,1,Enterprise ERP License,EA,4,500.0,2000.0,S,0.05,100.0,2000.0,2100.0,2100.0
INV-2026-X-068,2026-04-01,2026-04-27,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 68,100378308662,"Floor 7, Office 8",Fujairah,FU,AE,L-600068,DED,1,Strategic Cloud Consulting,EA,9,1200.0,10800.0,S,0.05,540.0,10800.0,11340.0,11340.0
INV-2026-X-069,2026-04-02,2026-05-01,380,30,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 69,,"Floor 7, Office 9",Abu Dhabi,AZ,AE,,,1,Data Analytics Workshop,EA,4,100.0,400.0,Z,0.0,0.0,400.0,400.0,400.0
INV-2026-X-070,2026-04-02,2026-04-17,380,30,B2B,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 70,100866125432,"Floor 8, Office 0",Ajman,AJ,AE,L-600070,DED,1,Managed Security Services,EA,2,2500.0,5000.0,Z,0.0,0.0,5000.0,5000.0,5000.0
INV-2026-X-071,2026-04-01,2026-04-18,380,10,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 71,100825001130,"Floor 8, Office 1",Dubai,DU,AE,L-600071,DED,1,Strategic Cloud Consulting,EA,8,2500.0,20000.0,S,0.05,1000.0,20000.0,21000.0,21000.0
INV-2026-X-072,2026-04-05,2026-04-22,380,10,B2C,AED,Z,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Consumer 72,,"Floor 8, Office 2",Fujairah,FU,AE,,,1,Compliance Audit Fees,EA,2,100.0,200.0,Z,0.0,0.0,200.0,200.0,200.0
INV-2026-X-073,2026-04-03,2026-04-24,380,42,B2B,AED,S,Adamas Tech Consulting LLC,100200300400500,Dubai Internet City,Dubai,DU,AE,DED-100200,DED,Enterprise Entity 73,100176107635,"Floor 8, Office 3",Sharjah,SH,AE,L-600073,DED,1,Strategic Cloud Consulting,EA,3,100.0,300.0,S,0.05,15.0,300.0,315.0,315.0
